sample_id	transcriptome	cellranger_versiom	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
4672STDY7631188	mm10	2.1.1	1976	184373	1108	364322234	98.30	95.10	97.60	76.40	94.40	97.90	92.00	83.80	3.70	5.10	75.10	72.70	0.90	73.70	15863	3316
4672STDY7631189	mm10	2.1.1	1541	234379	2233	361178184	98.30	92.00	97.50	74.80	92.10	97.80	90.30	84.10	3.30	7.40	73.40	71.00	0.90	73.40	16398	7927
4672STDY7631190	mm10	2.1.1	2237	162316	1070	363102881	98.30	94.40	97.50	77.00	93.20	97.90	92.00	84.10	3.60	5.60	75.00	72.50	1.00	73.30	16363	3184
4672STDY7631191	mm10	2.1.1	2029	167934	971	340738553	97.60	94.40	97.60	75.30	93.10	97.80	88.50	80.50	4.20	5.40	70.90	68.40	1.00	66.50	16273	2744
4672STDY7631192	mm10	2.1.1	2315	142799	1569	330581068	98.20	91.50	97.30	73.80	92.50	97.40	87.90	81.70	3.30	6.20	72.30	70.00	0.90	76.70	16103	5066
4672STDY7631193	mm10	2.1.1	2526	139389	1424	352098869	98.10	92.70	97.80	78.10	94.30	98.00	90.00	82.30	3.60	6.70	72.00	69.50	1.10	71.00	16126	4101
4672STDY7623907	mm10	2.1.1	1098	329975	3445	362313286	98.70	86.90	97.90	73.50	94.50	98.00	89.90	83.50	4.10	7.20	72.20	70.10	0.70	65.20	16321	15969
4672STDY7623908	mm10	2.1.1	957	786915	3779	753078127	98.60	93.80	98.20	83.40	95.50	98.30	93.40	86.90	4.30	7.30	75.40	73.20	0.70	66.80	16615	19145
4672STDY7623909	mm10	2.1.1	2863	135545	995	388066314	98.70	93.80	98.40	85.10	96.50	98.50	94.80	85.40	5.40	3.90	76.10	74.40	0.50	79.40	14987	3404
4672STDY7623910	mm10	2.1.1	2499	162727	1261	406656601	98.60	92.20	98.70	84.90	97.30	98.80	95.20	86.00	5.80	4.50	75.60	73.70	0.50	70.90	15320	4388
4672STDY7623911	mm10	2.1.1	1123	354819	3378	398462469	98.60	88.90	98.60	84.50	96.50	98.70	94.40	87.90	4.30	7.40	76.20	74.10	0.70	70.30	16322	16554
4672STDY7623912	mm10	2.1.1	1074	724849	3639	778488896	98.60	93.60	98.30	84.60	96.50	98.50	94.30	88.00	4.30	7.40	76.20	74.20	0.70	69.30	16594	18325
4672STDY7623913	mm10	2.1.1	877	444363	2544	389706966	98.70	92.70	98.50	85.20	96.50	98.60	94.50	86.70	5.60	6.20	74.80	72.80	0.60	59.00	15479	10742
4672STDY7623914	mm10	2.1.1	2179	179941	2183	392092718	98.70	87.10	98.40	86.10	96.40	98.60	95.00	87.00	3.80	6.10	77.10	75.00	0.70	67.70	16212	8588
4672STDY7140017	mm10-1_2_0	3.0.2	2436	155579	1084	378990816	98.60	90.00	98.10	84.40	95.90	98.00	94.60	88.60	4.60	7.50	76.50	74.30	0.80	90.50	16191	4042
4672STDY7140018	mm10-1_2_0	3.0.2	2536	150514	1121	381705738	98.60	91.00	98.20	84.00	96.30	98.10	94.90	88.20	5.10	7.20	75.90	73.70	0.80	87.50	16189	4149
4672STDY7140019	mm10-1_2_0	3.0.2	2894	131795	1120	381415556	98.50	89.30	98.20	84.70	96.00	98.10	95.00	88.60	3.80	8.00	76.80	74.50	1.00	92.00	16030	4240
4672STDY7140020	mm10-1_2_0	3.0.2	1613	240418	1181	387795716	98.60	92.30	98.30	86.70	96.50	98.20	95.40	89.40	4.60	7.50	77.30	75.30	0.70	87.10	15740	4603
4672STDY7631188	mm10-1_2_0	3.0.2	2815	129421	816	364322234	98.30	94.60	97.60	76.40	94.40	97.90	92.00	83.80	3.70	5.10	75.10	72.70	0.90	80.60	15329	2285
4672STDY7631189	mm10-1_2_0	3.0.2	3876	93183	713	361178184	98.40	91.40	97.50	74.80	92.10	97.80	90.30	84.10	3.30	7.40	73.40	71.00	0.90	87.90	16362	1815
4672STDY7631190	mm10-1_2_0	3.0.2	3262	111312	757	363102881	98.30	93.90	97.50	77.00	93.20	97.90	92.00	84.10	3.60	5.60	75.00	72.50	1.00	81.00	15628	2132
4672STDY7631191	mm10-1_2_0	3.0.2	2654	128386	755	340738553	97.70	94.00	97.60	75.30	93.10	97.80	88.50	80.50	4.20	5.40	70.90	68.40	1.00	71.50	15391	2103
4672STDY7631192	mm10-1_2_0	3.0.2	3227	102442	1088	330581068	98.20	91.10	97.30	73.80	92.50	97.40	87.90	81.70	3.30	6.20	72.30	70.00	0.90	82.50	15721	3202
4672STDY7631193	mm10-1_2_0	3.0.2	4540	77554	696	352098869	98.20	92.30	97.80	78.10	94.30	98.00	90.00	82.30	3.60	6.70	72.00	69.50	1.10	82.00	15905	1735
4672STDY7623907	mm10-1_2_0	3.0.2	4581	79090	655	362313286	98.70	86.10	97.90	73.50	94.50	98.00	89.90	83.50	4.10	7.20	72.20	70.10	0.70	85.10	16698	2029
4672STDY7623908	mm10-1_2_0	3.0.2	3859	195148	759	753078127	98.60	92.80	98.20	83.40	95.50	98.30	93.40	86.90	4.30	7.30	75.40	73.20	0.70	85.90	16950	2429
4672STDY7623909	mm10-1_2_0	3.0.2	3216	120667	888	388066314	98.80	93.30	98.40	85.10	96.50	98.50	94.80	85.40	5.40	3.90	76.10	74.40	0.50	82.00	14707	3013
4672STDY7623910	mm10-1_2_0	3.0.2	3919	103765	937	406656601	98.70	91.80	98.70	84.90	97.30	98.80	95.20	86.00	5.80	4.50	75.60	73.70	0.50	81.30	15309	3088
4672STDY7623911	mm10-1_2_0	3.0.2	4080	97662	781	398462469	98.70	88.00	98.60	84.50	96.50	98.70	94.40	87.90	4.30	7.40	76.20	74.10	0.70	89.30	16738	2476
4672STDY7623912	mm10-1_2_0	3.0.2	4090	190339	842	778488896	98.60	92.60	98.30	84.60	96.50	98.50	94.30	88.00	4.30	7.40	76.20	74.20	0.70	88.80	16858	2615
4672STDY7623913	mm10-1_2_0	3.0.2	2205	176737	806	389706966	98.70	92.00	98.50	85.20	96.50	98.60	94.50	86.70	5.60	6.20	74.80	72.80	0.60	70.20	15770	2463
4672STDY7623914	mm10-1_2_0	3.0.2	6373	61524	778	392092718	98.70	86.60	98.40	86.10	96.40	98.60	95.00	87.00	3.80	6.10	77.10	75.00	0.70	88.50	16479	2431
4672STDY8112878	mm10-3_0_0	3.0.2	10154	32931	1698	334390916	98.80	44.70	96.50	74.40	90.90	96.80	91.50	85.60	6.80	7.20	71.70	69.70	0.70	88.80	18702	6857
4672STDY8112879	mm10-3_0_0	3.0.2	8801	38590	1395	339631512	98.80	58.10	96.90	74.00	92.00	97.20	91.20	84.70	10.20	5.80	68.60	66.70	0.60	89.90	18718	5996
4672STDY8112880	mm10-3_0_0	3.0.2	10214	33678	1485	343988246	98.80	52.00	96.90	76.10	92.20	97.10	92.00	86.00	9.20	6.40	70.40	68.60	0.70	89.30	18346	6129
4672STDY8112881	mm10-3_0_0	3.0.2	8416	41900	1640	352634886	98.70	53.40	97.30	74.60	93.00	97.60	91.80	85.80	10.60	6.40	68.90	67.00	0.60	88.20	18778	7210
4672STDY8112882	mm10-3_0_0	3.0.2	8230	42006	1479	345717532	98.60	60.80	97.70	74.20	93.80	97.90	93.60	86.70	10.10	6.40	70.10	68.40	0.60	89.20	17950	6276
4672STDY8112883	mm10-3_0_0	3.0.2	9409	36419	1490	342668257	98.70	51.10	97.80	71.80	93.90	97.90	92.50	87.00	9.10	6.90	71.00	69.00	0.60	90.30	18545	6157
4672STDY8112884	mm10-3_0_0	3.0.2	9125	32684	1233	298248975	98.60	58.20	97.90	67.40	93.20	98.00	94.70	88.40	10.90	6.90	70.60	68.90	0.70	91.80	18436	5031
4672STDY8112885	mm10-3_0_0	3.0.2	10268	33784	1458	346897784	98.70	51.60	97.30	73.10	93.30	97.50	91.70	85.80	10.00	6.60	69.10	67.30	0.60	92.00	18783	6133
4672STDY6814755	mm10	1.3.1	4632	79620	730	368804456	98.40	95.80	98.20	81.60	91.50	98.30	NA	NA	2.80	8.20	72.10	68.60	NA	79.40	15527	1458
4672STDY6814756	mm10	1.3.1	2269	165883	790	376389244	98.40	97.70	98.60	83.70	91.10	98.70	NA	NA	3.10	7.70	71.10	67.70	NA	79.50	15183	1600
4672STDY7140017	mm10	1.3.1	1061	357120	2617	378905345	98.60	90.80	98.10	84.40	95.90	98.00	NA	NA	4.50	7.40	76.70	74.30	NA	74.60	16122	11216
4672STDY7140018	mm10	1.3.1	1252	304633	1820	381401272	98.50	91.70	98.20	84.10	96.30	98.10	NA	NA	5.10	7.00	76.10	73.70	NA	71.80	16091	7697
4672STDY7140019	mm10	1.3.1	1504	253434	2382	381164850	98.50	90.10	98.20	84.70	96.00	98.10	NA	NA	3.70	7.80	77.00	74.50	NA	79.20	15989	9614
4672STDY7140020	mm10	1.3.1	813	476500	2210	387395022	98.60	93.30	98.30	86.70	96.50	98.20	NA	NA	4.50	7.30	77.60	75.30	NA	73.40	15730	9527
